filename	maf	pval	MLE	lower_ci	upper_ci	SNP_number	phenotype_name	phenotype_code
100240	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.114550798165645	0.0976675737276003	28	Coffee consumed	100240
100260	maf_0.01	pval_1e-5	0.761463390468596	-0.219507459250764	1.70850419304509	34	Added milk to instant coffee	100260
100280	maf_0.01	pval_1e-5	1.67943981713113	0.679946927091476	2.6322677625808	42	Added milk to filtered coffee	100280
100360	maf_0.01	pval_1e-5	1.19381415932392	0.113177929656222	2.22398362915366	28	Decaffeinated coffee	100360
100390	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.317103095311661	0.234019667215219	26	Tea consumed	100390
100460	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.161594458297542	0.136508740431444	24	Added milk to standard tea	100460
100580	maf_0.01	pval_1e-5	0.20583060255336	-0.606765018046046	0.801313972352542	30	Alcohol consumed	100580
100760	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.253684949602928	0.199917884579822	23	Breakfast cereal consumed	100760
100890	maf_0.01	pval_1e-5	0.142206884204324	-0.8262441536382	0.789152901288425	25	Milk added to cereal	100890
100920_0	maf_0.01	pval_1e-5	1.23837652912355	-2.29744861154831	4.05154041501594	15	Type milk consumed: did not have milk	100920_0
100920_2102	maf_0.01	pval_1e-5	0.0353460869024682	-1.04465359911135	0.609566609566527	20	Type milk consumed: semiskimmed	100920_2102
100920_2103	maf_0.01	pval_1e-5	2.22833640197688	-2.35349900653124	5.49669160662634	19	Type milk consumed: skimmed	100920_2103
100920_2104	maf_0.01	pval_1e-5	2.04612004331002	0.533214148007294	3.30623548104477	37	Type milk consumed: wholemilk	100920_2104
100920_2105	maf_0.01	pval_1e-5	3.73069946661511	-0.650598534980225	6.63775862970014	29	Type milk consumed: soya with calcium	100920_2105
100920_2106	maf_0.01	pval_1e-5	9.99995873225395	9.99995032185253	9.99998582736178	26	Type milk consumed: soya without calcium	100920_2106
100920_2107	maf_0.01	pval_1e-5	3.84129986127082	-4.45235780340334	8.20921769865777	25	Type milk consumed: goat/sheep milk	100920_2107
100920_2108	maf_0.01	pval_1e-5	3.80851770793722	-1.18456836251791	7.29849225782802	21	Type milk consumed: rice/oat/vegetable milk	100920_2108
100920_2109	maf_0.01	pval_1e-5	2.48571391600555	0.0633597233304388	4.45385661869869	22	Type milk consumed: powdered milk	100920_2109
100920_2110	maf_0.01	pval_1e-5	4.11506752644283	0.0535296603888122	7.16665576807488	18	Type milk consumed: cholesterol lowering milk	100920_2110
100920_2199	maf_0.01	pval_1e-5	5.12917984343171	-0.847848854387051	8.9465559804431	21	Type milk consumed: other type of milk	100920_2199
100940	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.119332493356429	0.101954265035311	22	Bread consumed	100940
102080	maf_0.01	pval_1e-5	0.140805030195158	-0.664083105258758	0.675251067420734	29	Yogurt/ice-cream consumers	102080
102130	maf_0.01	pval_1e-5	0.625073240603911	-0.428672033561814	1.57215620454718	27	Dessert consumers	102130
102250	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.131857557858747	0.110827759376653	29	Sweet snack consumers	102250
102400	maf_0.01	pval_1e-5	1.19680461607296	-0.404882198490377	2.53422846238911	27	Savoury snack consumers	102400
102700	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.760729346388047	0.409832515010178	23	Starchy food consumers	102700
102800	maf_0.01	pval_1e-5	0.588731092695838	-0.633681715615919	1.63202353467517	23	Cheese consumers	102800
102930	maf_0.01	pval_1e-5	1.5576267573891	-2.25098964862356	4.49002604965344	15	Egg consumers	102930
103000	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.512455139977889	0.349028453147523	23	Meat consumers	103000
103120	maf_0.01	pval_1e-5	5.96086098654914e-05			28	Fat removed from meat	103120
103130	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.679503779468551	0.562619687914644	10	Skin removed from poultry	103130
103140	maf_0.01	pval_1e-5	0.60038815724873	-0.635568639636292	1.63755044395023	28	Fish consumer	103140
103250	maf_0.01	pval_1e-5	2.57557764031849	0.564238446267964	4.20357123236506	33	Vegetarian alternatives intake	103250
103990	maf_0.01	pval_1e-5	5.96086098654914e-05			27	Vegetable consumers	103990
104400	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.199362953767605	0.158688679552856	24	Fruit consumers	104400
104670	maf_0.01	pval_1e-5	0.399154495639861	-0.939229853045837	1.49667077801422	19	Vitamin supplement user	104670
110001	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.122854687005805	0.102155565231305	59	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	110001
1150_1	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.332486319186484	0.223926335837173	53	Usual side of head for mobile phone use: Left	1150_1
1150_2	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.440986139746505	0.254052272399315	71	Usual side of head for mobile phone use: Right	1150_2
1150_3	maf_0.01	pval_1e-5	0.215618297257857	-0.667462357080577	0.846147191807815	36	Usual side of head for mobile phone use: Equally left and right	1150_3
1210	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.0728622756076819	0.0611971330195537	203	Snoring	1210
1418_1	maf_0.01	pval_1e-5	5.96086098654914e-05	-0.509288844369404	0.267245587021788	60	Milk type used: Full cream	1418_1
1418_2	maf_0.01	pval_1e-5	0.273060774248829	-0.550740451306167	0.893638339617052	44	Milk type used: Semi-skimmed	1418_2
