filename	maf	pval	MLE	lower_ci	upper_ci	SNP_number	phenotype_name	phenotype_code
1210	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.428048677034676	0.333748584377277	24	Snoring	1210
1448_1	maf_0.01	pval_1e-8	1.55517796683003	-1.39251430231486	4.12004211957874	16	Bread type: White	1448_1
1448_3	maf_0.01	pval_1e-8	1.07587474572517	-2.71526193954779	3.89025604416001	15	Bread type: Wholemeal or wholegrain	1448_3
1468_5	maf_0.01	pval_1e-8	3.45703551383037	-2.00648776781413	7.14754122065593	12	Cereal type: Other (e.g. Cornflakes, Frosties)	1468_5
1508_3	maf_0.01	pval_1e-8	5.96086098654914e-05	-2.95521549879171	1.62031774853755	12	Coffee type: Ground coffee (include espresso, filter etc)	1508_3
1618	maf_0.01	pval_1e-8	0.59609656959781	-4.46399946765819	3.8185637326458	10	Alcohol usually taken with meals	1618
1747_1	maf_0.01	pval_1e-8	0.680774058828089	0.076515178121235	1.26700562024752	129	Hair colour (natural, before greying): Blonde	1747_1
1747_2	maf_0.01	pval_1e-8	2.0328466673374	-1.50936193796628	4.73429699826452	17	Hair colour (natural, before greying): Red	1747_2
1747_3	maf_0.01	pval_1e-8	0.48143317934131	-0.59259370503401	1.40450414513344	43	Hair colour (natural, before greying): Light brown	1747_3
1747_4	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.0279912301955355	0.0258767132984971	117	Hair colour (natural, before greying): Dark brown	1747_4
1747_5	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.253740730639524	0.187131844405627	47	Hair colour (natural, before greying): Black	1747_5
1920	maf_0.01	pval_1e-8	1.09920172603348	-1.0539534087002	2.88789194793452	36	Mood swings	1920
1930	maf_0.01	pval_1e-8	0.898354016327339	-0.706265559769353	2.27572247688515	30	Miserableness	1930
1940	maf_0.01	pval_1e-8	3.08040345354692	-0.290899955976669	5.89162518484846	26	Irritability	1940
1950	maf_0.01	pval_1e-8	5.96086098654914e-05	-1.2841391412462	0.738552252614559	20	Sensitivity / hurt feelings	1950
1960	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.46872841506344	0.351206554485998	35	Fed-up feelings	1960
1970	maf_0.01	pval_1e-8	1.37651484655996	-0.397131319474023	2.97773323778889	34	Nervous feelings	1970
1980	maf_0.01	pval_1e-8	5.96086098654914e-05	-1.25252028004282	0.621871857577394	34	Worrier / anxious feelings	1980
1990	maf_0.01	pval_1e-8	3.34459038382928	-3.04600648987154	7.94267160146642	13	Tense / 'highly strung'	1990
2000	maf_0.01	pval_1e-8	1.74733345301176	-3.369446096083	5.4786757688104	17	Worry too long after embarrassment	2000
20001_1061	maf_0.01	pval_1e-8	3.19095896622184	-4.2537910817195	7.60238521951518	13	Cancer code, self-reported: basal cell carcinoma	20001_1061
20002_1065	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.0709776857939086	0.0595895517381509	188	Non-cancer illness code, self-reported: hypertension	20002_1065
20002_1074	maf_0.01	pval_1e-8	5.96086098654914e-05	-1.12675458398206	0.707823040327544	14	Non-cancer illness code, self-reported: angina	20002_1074
20002_1075	maf_0.01	pval_1e-8	0.79343893294015	-3.24529640691827	3.79504947802709	10	Non-cancer illness code, self-reported: heart attack/myocardial infarction	20002_1075
20002_1094	maf_0.01	pval_1e-8	1.94756190604796	-4.12649855476858	6.12681240993907	10	Non-cancer illness code, self-reported: deep venous thrombosis (dvt)	20002_1094
20002_1111	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.380127112056404	0.244999715213039	77	Non-cancer illness code, self-reported: asthma	20002_1111
20002_1162	maf_0.01	pval_1e-8	0.646822944251065	-1.8041538248134	2.60122300593759	11	Non-cancer illness code, self-reported: cholelithiasis/gall stones	20002_1162
20002_1220	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.548683008531743	0.350614171900705	40	Non-cancer illness code, self-reported: diabetes	20002_1220
20002_1225	maf_0.01	pval_1e-8	7.30057775584901	3.2976608526111	10.4185253534823	13	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	20002_1225
20002_1226	maf_0.01	pval_1e-8	1.98733053628893	0.842746144162471	3.03404753967476	91	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	20002_1226
20002_1265	maf_0.01	pval_1e-8	2.77643733009823	-2.47455453919881	6.45521868326768	12	Non-cancer illness code, self-reported: migraine	20002_1265
20002_1387	maf_0.01	pval_1e-8	0.438029090382378	-1.18181143887472	1.6743879295934	21	Non-cancer illness code, self-reported: hayfever/allergic rhinitis	20002_1387
20002_1452	maf_0.01	pval_1e-8	0.930245153988982	-2.12078638115779	3.39759589646225	12	Non-cancer illness code, self-reported: eczema/dermatitis	20002_1452
20002_1453	maf_0.01	pval_1e-8	2.21986854590217	-0.839474191871363	4.48635717873105	18	Non-cancer illness code, self-reported: psoriasis	20002_1453
20002_1456	maf_0.01	pval_1e-8	3.93470469382173	-3.95311250640056	8.39879423867225	19	Non-cancer illness code, self-reported: malabsorption/coeliac disease	20002_1456
20002_1464	maf_0.01	pval_1e-8	4.66017838828413	-2.37769202192558	8.67744438278814	11	Non-cancer illness code, self-reported: rheumatoid arthritis	20002_1464
20002_1466	maf_0.01	pval_1e-8	0.748756999228368	-1.01220848072728	2.25732226106551	17	Non-cancer illness code, self-reported: gout	20002_1466
20002_1471	maf_0.01	pval_1e-8	2.8978573585634	-2.79486247049586	7.06333171280002	10	Non-cancer illness code, self-reported: atrial fibrillation	20002_1471
20002_1473	maf_0.01	pval_1e-8	0.276539125292084	-0.578221980013805	0.925312961218847	53	Non-cancer illness code, self-reported: high cholesterol	20002_1473
20003_1140861958	maf_0.01	pval_1e-8	0.431257028159457	-1.15889474834572	1.5585963806232	27	Treatment/medication code: simvastatin	20003_1140861958
20003_1140861998	maf_0.01	pval_1e-8	5.96086098654914e-05	-1.69877166238794	0.984100650453884	18	Treatment/medication code: ventolin 100micrograms inhaler	20003_1140861998
20003_1140875408	maf_0.01	pval_1e-8	0.158121396571557	-1.75628553288058	1.36881084621458	13	Treatment/medication code: allopurinol	20003_1140875408
20003_1140879802	maf_0.01	pval_1e-8	2.0561874533692	-2.5875071180007	5.65750742110721	16	Treatment/medication code: amlodipine	20003_1140879802
20003_1140883066	maf_0.01	pval_1e-8	3.96767285366749	-3.61752678928626	8.65615185707659	12	Treatment/medication code: insulin product	20003_1140883066
20003_1140884516	maf_0.01	pval_1e-8	3.55354585269886	-3.71222402348353	7.95500364644471	14	Treatment/medication code: thyroxine product	20003_1140884516
20003_1140884600	maf_0.01	pval_1e-8	5.96086098654914e-05	-0.459169885531236	0.336677309017776	24	Treatment/medication code: metformin	20003_1140884600
20003_1141146234	maf_0.01	pval_1e-8	0.542156016312455	-1.67622346377164	2.22430463574475	18	Treatment/medication code: atorvastatin	20003_1141146234
20003_1141191044	maf_0.01	pval_1e-8	2.70772789383207	1.38356775061515	3.85001476974801	60	Treatment/medication code: levothyroxine sodium	20003_1141191044
